AstarPath.AstarDistribution	astarpath.html#AstarDistribution	Information about where the package was downloaded.
AstarPath.Branch	astarpath.html#Branch	Which branch of the A* Pathfinding Project is this release. \n\nUsed when checking for updates so that users of the development versions can get notifications of development updates.
AstarPath.DestroyGraphPromise.graph	destroygraphpromise.html#graph	
AstarPath.Distribution	astarpath.html#Distribution	Used by the editor to guide the user to the correct place to download updates.
AstarPath.IsAnyGraphUpdateInProgress	astarpath.html#IsAnyGraphUpdateInProgress	Returns if any graph updates are being calculated right now. \n\n[more in online documentation]
AstarPath.IsAnyGraphUpdateQueued	astarpath.html#IsAnyGraphUpdateQueued	Returns if any graph updates are waiting to be applied. \n\n[more in online documentation]
AstarPath.IsAnyWorkItemInProgress	astarpath.html#IsAnyWorkItemInProgress	Returns if any work items are in progress right now. \n\n[more in online documentation]
AstarPath.IsInsideWorkItem	astarpath.html#IsInsideWorkItem	Returns if this code is currently being exectuted inside a work item. \n\n[more in online documentation]\nIn contrast to IsAnyWorkItemInProgress this is only true when work item code is being executed, it is not true in-between the updates to a work item that takes several frames to complete.
AstarPath.IsUsingMultithreading	astarpath.html#IsUsingMultithreading	Returns whether or not multithreading is used. \n\n\n[more in online documentation]
AstarPath.NNConstraintClosestAsSeenFromAbove	astarpath.html#NNConstraintClosestAsSeenFromAbove	Cached NNConstraint to avoid unnecessary allocations. \n\nThis should ideally be fixed by making NNConstraint an immutable class/struct.
AstarPath.NumParallelThreads	astarpath.html#NumParallelThreads	Number of parallel pathfinders. \n\nReturns the number of concurrent processes which can calculate paths at once. When using multithreading, this will be the number of threads, if not using multithreading it is always 1 (since only 1 coroutine is used). \n\n[more in online documentation]
AstarPath.On65KOverflow	astarpath.html#On65KOverflow	Called when <b>pathID</b> overflows 65536 and resets back to zero. \n\n[more in online documentation]
AstarPath.OnAwakeSettings	astarpath.html#OnAwakeSettings	Called on Awake before anything else is done. \n\nThis is called at the start of the Awake call, right after active has been set, but this is the only thing that has been done.\n\nUse this when you want to set up default settings for an AstarPath component created during runtime since some settings can only be changed in Awake (such as multithreading related stuff) <b>[code in online documentation]</b>
AstarPath.OnGraphPostScan	astarpath.html#OnGraphPostScan	Called for each graph after they have been scanned. \n\nAll other graphs might not have been scanned yet. In most cases it is recommended to create a custom class which inherits from Pathfinding.GraphModifier instead.
AstarPath.OnGraphPreScan	astarpath.html#OnGraphPreScan	Called for each graph before they are scanned. \n\nIn most cases it is recommended to create a custom class which inherits from Pathfinding.GraphModifier instead.
AstarPath.OnGraphsUpdated	astarpath.html#OnGraphsUpdated	Called when any graphs are updated. \n\nRegister to for example recalculate the path whenever a graph changes. In most cases it is recommended to create a custom class which inherits from Pathfinding.GraphModifier instead.
AstarPath.OnLatePostScan	astarpath.html#OnLatePostScan	Called after scanning has completed fully. \n\nThis is called as the last thing in the Scan function. In most cases it is recommended to create a custom class which inherits from Pathfinding.GraphModifier instead.
AstarPath.OnPathPostSearch	astarpath.html#OnPathPostSearch	Called for each path after searching. \n\nBe careful when using multithreading since this will be called from a different thread.
AstarPath.OnPathPreSearch	astarpath.html#OnPathPreSearch	Called for each path before searching. \n\nBe careful when using multithreading since this will be called from a different thread.
AstarPath.OnPathsCalculated	astarpath.html#OnPathsCalculated	Called right after callbacks on paths have been called. \n\nA path's callback function runs on the main thread when the path has been calculated. This is done in batches for all paths that have finished their calculation since the last frame. This event will trigger right after a batch of callbacks have been called.\n\nIf you do not want to use individual path callbacks, you can use this instead to poll all pending paths and see which ones have completed. This is better than doing it in e.g. the Update loop, because here you will have a guarantee that all calculated paths are still valid. Immediately after this callback has finished, other things may invalidate calculated paths, like for example graph updates.\n\nThis is used by the ECS integration to update all entities' pending paths, without having to store a callback for each agent, and also to avoid the ECS synchronization overhead that having individual callbacks would entail.
AstarPath.OnPostScan	astarpath.html#OnPostScan	Called after scanning. \n\nThis is called before applying links, flood-filling the graphs and other post processing. In most cases it is recommended to create a custom class which inherits from Pathfinding.GraphModifier instead.
